Ingredient,Dish,Meal,Date,Index,Vegetarian,Vegan,Gluten-Free
pepper,Butternut Squash Bisque,lunch,2022-04-26,8,True,False,False
cinnamon,Butternut Squash Bisque,lunch,2022-04-26,8,True,False,False
beet sugar,Butternut Squash Bisque,lunch,2022-04-26,8,True,False,False
broccoli,Roasted Broccolini with Tomatoes,lunch,2022-04-25,4,False,True,True
cherry tomatoes,Roasted Broccolini with Tomatoes,lunch,2022-04-25,4,False,True,True
garlic,Roasted Broccolini with Tomatoes,lunch,2022-04-25,4,False,True,True
canola/olive oil blend,Roasted Broccolini with Tomatoes,lunch,2022-04-25,4,False,True,True
salt,Roasted Broccolini with Tomatoes,lunch,2022-04-25,4,False,True,True
seasonal vegetables,Seasonal Steamed Vegetables,lunch,2022-04-24,4,False,True,True
green beans,Blistered Green Beans,lunch,2022-05-01,5,False,True,False
canola/olive oil blend,Blistered Green Beans,lunch,2022-05-01,5,False,True,False
garlic,Blistered Green Beans,lunch,2022-05-01,5,False,True,False
fried shallots,Blistered Green Beans,lunch,2022-05-01,5,False,True,False
brown rice,Cilantro Lime Rice,dinner,2022-05-01,3,False,True,True
onion,Cilantro Lime Rice,dinner,2022-05-01,3,False,True,True
canola/olive oil blend,Cilantro Lime Rice,dinner,2022-05-01,3,False,True,True
lime,Cilantro Lime Rice,dinner,2022-05-01,3,False,True,True
cilantro,Cilantro Lime Rice,dinner,2022-05-01,3,False,True,True
garlic,Cilantro Lime Rice,dinner,2022-05-01,3,False,True,True
chicken breast (halal),Fajita Chicken,dinner,2022-05-08,0,False,False,False
salt,Fajita Chicken,dinner,2022-05-08,0,False,False,False
corn maltodextrin,Fajita Chicken,dinner,2022-05-08,0,False,False,False
onions,Fajita Chicken,dinner,2022-05-08,0,False,False,False
black pepper,Fajita Chicken,dinner,2022-05-08,0,False,False,False
yeast extract,Fajita Chicken,dinner,2022-05-08,0,False,False,False
garlic,Fajita Chicken,dinner,2022-05-08,0,False,False,False
dextrose,Fajita Chicken,dinner,2022-05-08,0,False,False,False
natural flavor,Fajita Chicken,dinner,2022-05-08,0,False,False,False
spice,Fajita Chicken,dinner,2022-05-08,0,False,False,False
bromelain,Fajita Chicken,dinner,2022-05-08,0,False,False,False
cilantro,Fajita Chicken,dinner,2022-05-08,0,False,False,False
turkey thigh meat,Turkey Bacon,breakfast,2022-05-04,2,False,False,True
sea salt,Turkey Bacon,breakfast,2022-05-04,2,False,False,True
beet powder,Turkey Bacon,breakfast,2022-05-04,2,False,False,True
paprika,Turkey Bacon,breakfast,2022-05-04,2,False,False,True
brown sugar,Turkey Bacon,breakfast,2022-05-04,2,False,False,True
onion,Turkey Bacon,breakfast,2022-05-04,2,False,False,True
vegetable soup base,Matzo Ball Soup,lunch,2022-05-07,6,True,False,False
onion,Matzo Ball Soup,lunch,2022-05-07,6,True,False,False
carrot,Matzo Ball Soup,lunch,2022-05-07,6,True,False,False
celery,Matzo Ball Soup,lunch,2022-05-07,6,True,False,False
organic thyme,Matzo Ball Soup,lunch,2022-05-07,6,True,False,False
bay leaf,Matzo Ball Soup,lunch,2022-05-07,6,True,False,False
cracked wheat,Tabouli,dinner,2022-05-09,16,False,True,False
